id,Arabic,Hindi,Urdu,Other_Indic_languages,Speak_only_English,Spanish_or_Spanish_Creole,French_Patois_Cajun,French_Creole,Italian,Portuguese_or_Portuguese_Creole,German,Yiddish,Other_West_Germanic_languages,Scandinavian_languages,Greek,Russian,Polish,Serbo_Croatian,Other_Slavic_languages,Armenian,Persian,Gujarati,Other_Indo_European_languages,Chinese,Japanese,Korean,Mon_Khmer_Cambodian,Hmong,Thai,Laotian,Vietnamese,Other_Asian_languages,Tagalog,Other_Pacific_Island_languages,Navajo,Other_Native_North_American_languages,Hungarian,Hebrew,African_languages,Other_and_unspecified_languages
1400000US36047013600,282,0,0,0,2025,287,23,0,30,0,0,8,0,28,306,116,8,0,18,0,7,0,196,223,42,0,0,0,0,0,0,14,18,0,0,0,8,0,0,0
1400000US36047013700,0,0,0,10,2278,576,76,37,19,6,10,7,0,11,30,28,0,12,14,0,0,0,10,11,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0
1400000US36047013800,306,22,0,0,1374,494,0,0,0,0,0,0,12,0,175,135,135,139,37,0,0,48,72,269,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0
1400000US36047013900,104,0,20,20,2440,412,30,6,28,0,15,0,0,0,0,27,0,0,0,0,0,0,9,109,18,22,0,0,0,0,16,0,8,0,0,0,0,0,0,0
1400000US36047014000,160,0,0,0,883,64,26,0,73,0,0,0,0,0,254,98,79,0,0,0,6,0,0,96,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,17
1400000US36047014100,0,0,0,0,2300,715,80,57,32,28,22,0,21,0,56,25,50,0,0,0,0,0,0,149,50,0,0,0,0,0,0,15,27,0,0,0,0,0,0,0
1400000US36047014200,212,0,47,0,1425,416,0,0,29,40,8,0,0,0,388,75,13,0,52,0,0,0,31,141,0,26,0,0,0,0,0,8,0,0,0,0,9,0,0,23
1400000US36047014300,110,6,0,107,1562,1600,7,17,17,0,8,0,0,0,0,9,86,14,0,0,0,0,0,33,21,24,0,0,0,0,9,0,0,0,0,0,0,10,0,0
1400000US36047014500,50,10,0,144,2172,1417,0,0,17,0,82,0,0,0,0,90,203,0,37,0,0,0,117,20,83,11,0,0,0,0,0,0,0,0,0,0,0,14,18,0
1400000US36047014700,11,0,5,10,1149,783,17,0,0,0,25,0,0,0,0,17,35,0,0,0,0,0,0,17,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0
1400000US36047014800,20,0,0,0,827,19,0,0,298,0,0,31,0,0,8,7,0,44,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
1400000US36047014900,0,0,0,0,4182,823,44,1,0,65,0,0,18,0,0,0,71,0,0,0,0,0,0,45,102,17,0,0,0,0,0,0,0,0,0,0,13,0,3,0
1400000US36047015000,44,0,0,0,1106,22,0,0,148,0,0,0,0,0,7,31,13,0,0,0,0,0,4,191,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
1400000US36047015100,0,0,0,0,2679,467,82,0,26,90,29,0,8,0,11,34,0,0,22,0,0,0,31,19,25,39,0,0,0,0,0,0,0,0,0,0,31,9,0,0
1400000US36047015200,98,17,9,51,1445,95,0,0,110,0,0,0,0,6,71,98,0,0,4,0,0,0,0,197,0,48,0,0,0,0,5,0,144,0,0,0,0,0,0,0
1400000US36047015300,33,0,0,17,1978,272,64,8,27,0,22,35,0,0,76,0,0,0,0,0,16,0,0,13,25,0,0,0,0,0,0,60,12,0,0,0,0,12,0,0
1400000US36047015400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047015500,28,0,16,0,2909,56,37,0,30,0,31,0,0,33,8,84,0,0,0,0,0,0,0,55,16,56,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1400000US36047015700,0,0,0,0,3584,117,61,0,165,25,29,0,0,26,0,23,0,0,0,0,0,0,0,44,34,17,0,0,0,0,18,0,0,0,0,0,0,0,0,0
1400000US36047015900,0,16,0,37,3728,409,50,0,0,73,34,47,17,0,36,23,0,0,17,0,0,0,251,21,0,0,0,0,0,0,14,9,0,0,0,0,0,1,0,0
1400000US36047016000,571,30,101,35,1843,696,0,11,72,10,17,0,0,0,102,76,0,106,0,0,0,21,0,254,0,101,0,0,0,0,0,13,36,0,0,0,22,0,0,0
1400000US36047016100,64,7,0,0,2189,320,92,0,9,0,32,2,0,0,0,8,0,0,0,0,0,0,0,63,0,78,0,0,0,0,0,86,0,0,0,0,0,0,0,0
1400000US36047016200,218,6,0,94,1080,246,0,0,30,0,0,0,0,10,0,289,0,0,12,0,0,0,21,297,0,35,0,0,0,0,0,108,0,0,0,0,0,0,23,0
1400000US36047016300,27,0,0,114,2118,238,84,0,7,0,7,0,0,0,0,67,21,0,8,0,0,0,6,14,39,0,0,0,21,0,0,0,0,0,0,0,0,29,13,0
1400000US36047016400,0,0,0,0,569,22,0,0,0,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,23,0,0,0,0,0,0,0,0
1400000US36047016500,37,58,0,31,4203,316,36,0,55,0,81,0,0,62,0,58,0,0,0,0,0,0,0,216,52,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0
1400000US36047016600,41,0,0,0,1461,39,0,0,300,0,0,0,0,0,169,13,23,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047016700,0,0,0,0,3627,330,56,0,26,59,126,0,0,0,0,25,11,0,0,0,0,0,0,22,0,126,0,0,0,0,0,0,0,0,0,0,0,17,0,0
1400000US36047016800,23,0,0,0,1030,30,0,0,92,0,0,0,0,0,5,167,0,0,0,0,0,0,18,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047016900,0,11,0,0,2910,451,29,0,27,12,29,0,0,15,0,0,0,14,0,0,0,0,0,416,17,125,0,0,0,0,40,0,52,0,0,0,0,15,0,0
1400000US36047017000,34,0,0,0,1192,459,0,0,327,0,0,0,0,0,116,101,44,0,27,0,0,0,0,1374,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
1400000US36047017100,25,0,0,0,2893,141,0,0,189,10,7,0,0,0,44,90,7,38,0,0,0,0,0,51,54,0,0,0,0,0,0,0,88,0,0,0,11,43,0,0
